"eventID","occurrenceID","recordedByID","individualCount","basisOfRecord","occurrenceStatus","occurrenceRemarks","organismID","scientificName","kingdom","phylum","class","order","family","genus","specificEpithet"
"DO1997_93_1","DO1997_93_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1997_100_1","DO1997_100_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1997_108_1","DO1997_108_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1997_114_1","DO1997_114_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1997_121_1","DO1997_121_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1997_129_1","DO1997_129_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1997_136_1","DO1997_136_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1998_97_1","DO1998_97_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1998_105_1","DO1998_105_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1998_121_1","DO1998_121_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1998_129_1","DO1998_129_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1998_132_1","DO1998_132_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1999_91_1","DO1999_91_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1999_100_1","DO1999_100_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1999_105_1","DO1999_105_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1999_112_1","DO1999_112_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1999_119_1","DO1999_119_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO1999_126_1","DO1999_126_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2000_91_1","DO2000_91_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2000_104_1","DO2000_104_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2000_111_1","DO2000_111_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2000_118_1","DO2000_118_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2000_125_1","DO2000_125_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2000_132_1","DO2000_132_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2001_95_1","DO2001_95_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2001_102_1","DO2001_102_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2001_109_1","DO2001_109_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2001_116_1","DO2001_116_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2001_122_1","DO2001_122_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
"DO2001_129_1","DO2001_129_1_o1",NA,1,"HumanObservation","present",NA,1,"Quercus robur L.","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","robur"
