"measurementID","eventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementRemarks"
"PM1-T1_1_m1","PM1-T1","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM1-T1_1_m2","PM1-T1","Liming process (AGRO:00000112) treatment (AGRO:00000322)","yes",NA,NA,NA
"PM1-T1_1_m3","PM1-T1","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.37282878","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m4","PM1-T1","Calcium (CHEBI:22984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","95.38318779","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m5","PM1-T1","Iron (CHEBI:18248) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.019446372","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m6","PM1-T1","Potassium (CHEBI:26216) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","184.1044572","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m7","PM1-T1","Magnesium (CHEBI:25107) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","98.54492246","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m8","PM1-T1","Manganese (CHEBI:18291) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.460060704","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m9","PM1-T1","Sulfur (CHEBI:26833) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","66.34574598","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m10","PM1-T1","Silicon (CHEBI:27573) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","6.940909076","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m11","PM1-T1","Zinc (CHEBI:27363) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.79187953","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m12","PM1-T1","Percentage (SIO:001413) of nitrogen (CHEBI:25555) in plant tissue (NCIT:C18945)","2.6831038","percent (UO:0000187)",NA,NA
"PM1-T1_1_m13","PM1-T1","Percentage (SIO:001413) of carbon (CHEBI:27594) in plant tissue (NCIT:C18945)","45.39378357","percent (UO:0000187)",NA,NA
"PM1-T1_1_m14","PM1-T1","Percentage (SIO:001413) of phosphorus (CHEBI:28659) in plant tissue (NCIT:C18945)","0.229216102","percent (UO:0000187)",NA,NA
"PM1-T1_1_m15","PM1-T1","Nitrogen (CHEBI:25555) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1915.134761","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM1-T1_1_m16","PM1-T1","Carbon (CHEBI:27594) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","37796.65576","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM1-T1_1_m17","PM1-T1","Phosphorus (CHEBI:28659) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","74.01230299","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T1_1_m18","PM1-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","16.91838518",NA,NA,"Calculated as percentage of carbon divided by percentage of nitrogen"
"PM1-T1_1_m19","PM1-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","198.0392438",NA,NA,"Calculated as percentage of carbon divided by percentage of phosphorus"
"PM1-T1_1_m20","PM1-T1","Ratio (SIO:001018) of percentage (SIO:001413) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","11.70556419",NA,NA,"Calculated as percentage of nitrogen divided by percentage of phosphorus"
"PM1-T1_1_m21","PM1-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","19.73576823",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of nitrogen"
"PM1-T1_1_m22","PM1-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","510.6807143",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of phosphorus"
"PM1-T1_1_m23","PM1-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","25.87589743",NA,NA,"Calculated as molar concentration of nitrogen divided by molar concentration of phosphorus"
"PM2-T1_1_m1","PM2-T1","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM2-T1_1_m2","PM2-T1","Liming process (AGRO:00000112) treatment (AGRO:00000322)","yes",NA,NA,NA
"PM2-T1_1_m3","PM2-T1","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","3.902744523","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m4","PM2-T1","Calcium (CHEBI:22984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","96.61280308","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m5","PM2-T1","Iron (CHEBI:18248) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","3.547183304","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m6","PM2-T1","Potassium (CHEBI:26216) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","211.5710153","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m7","PM2-T1","Magnesium (CHEBI:25107) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","88.88141051","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m8","PM2-T1","Manganese (CHEBI:18291) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1.136802368","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m9","PM2-T1","Sulfur (CHEBI:26833) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","64.76349004","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m10","PM2-T1","Silicon (CHEBI:27573) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","10.07535226","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m11","PM2-T1","Zinc (CHEBI:27363) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.61435094","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m12","PM2-T1","Percentage (SIO:001413) of nitrogen (CHEBI:25555) in plant tissue (NCIT:C18945)","2.545350313","percent (UO:0000187)",NA,NA
"PM2-T1_1_m13","PM2-T1","Percentage (SIO:001413) of carbon (CHEBI:27594) in plant tissue (NCIT:C18945)","45.19367409","percent (UO:0000187)",NA,NA
"PM2-T1_1_m14","PM2-T1","Percentage (SIO:001413) of phosphorus (CHEBI:28659) in plant tissue (NCIT:C18945)","0.220415828","percent (UO:0000187)",NA,NA
"PM2-T1_1_m15","PM2-T1","Nitrogen (CHEBI:25555) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1816.809645","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM2-T1_1_m16","PM2-T1","Carbon (CHEBI:27594) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","37630.03671","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM2-T1_1_m17","PM2-T1","Phosphorus (CHEBI:28659) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","71.17075481","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m18","PM2-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","17.75538473",NA,NA,"Calculated as percentage of carbon divided by percentage of nitrogen"
"PM2-T1_1_m19","PM2-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","205.0382433",NA,NA,"Calculated as percentage of carbon divided by percentage of phosphorus"
"PM2-T1_1_m20","PM2-T1","Ratio (SIO:001018) of percentage (SIO:001413) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","11.54794708",NA,NA,"Calculated as percentage of nitrogen divided by percentage of phosphorus"
"PM2-T1_1_m21","PM2-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","20.71215155",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of nitrogen"
"PM2-T1_1_m22","PM2-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","528.7289254",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of phosphorus"
"PM2-T1_1_m23","PM2-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","25.52747474",NA,NA,"Calculated as molar concentration of nitrogen divided by molar concentration of phosphorus"
"PM3-T1_1_m1","PM3-T1","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM3-T1_1_m2","PM3-T1","Liming process (AGRO:00000112) treatment (AGRO:00000322)","yes",NA,NA,NA
"PM3-T1_1_m3","PM3-T1","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.368186027","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
