	Femnum	Treat	Lime	P	W14d	InitW	Delta_W_init14	Cannibal	Early_death	No_reprod	DeltaW_14d_repr_lifespan	DeltaW_repr_period	DeltaW_daily_repr_lifespan	DeltaW_adult_lifespan	DeltaW_daily_adult_lifespan	Adult_lifespan	Reprd_lifespan	Total_repr_suc	Rep30	batch1	batch2	batch3	batch4	batch5	batch6	batch7	batch8	batch9	batch10	batch11
1	1	P-Ca-	NO	NO	1.0032	0.7976	0.2056	NO	NO	NO	-0.0779	-0.3798	-0.006028571	-0.1742	-0.002262338	77	63	177	177	146	22	8	1	0	0	0	0	0	0	0
2	2	P+Ca-	NO	YES	1.3598	0.8214	0.5384	YES	NO	NO	-0.1878	-0.4379	-0.014596667	0.1005	0.002284091	44	30	545	545	274	83	53	84	51	0	0	0	0	0	0
3	3	P-Ca+	YES	NO	1.2823	1.0398	0.2425	NO	NO	NO	-0.2362	-0.5779	-0.011793878	-0.3354	-0.00532381	63	49	154	154	0	110	44	0	0	0	0	0	0	0	0
4	4	P+Ca+	YES	YES	1.4304	0.9241	0.5063	YES	NO	NO	-0.3097	NA	NA	NA	NA	49	35	429	429	277	85	44	23	0	0	0	0	0	0	0
5	5	P-Ca-	NO	NO	1.0976	0.927	0.1706	NO	NO	NO	-0.1184	-0.4974	-0.021626087	-0.3268	-0.008832432	37	23	306	306	251	13	41	1	0	0	0	0	0	0	0
6	6	P+Ca-	NO	YES	1.0245	0.8615	0.163	NO	NO	NO	-0.1116	-0.2887	-0.007041463	-0.1257	-0.002285455	55	41	255	255	198	32	22	3	0	0	0	0	0	0	0
7	7	P-Ca+	YES	NO	1.1406	0.9643	0.1763	NO	NO	NO	-0.2577	NA	NA	NA	NA	44	30	210	210	74	89	43	3	1	0	0	0	0	0	0
8	8	P+Ca+	YES	YES	1.261	1.0385	0.2225	NO	NO	NO	-0.2177	NA	NA	NA	NA	30	16	422	422	281	59	63	19	0	0	0	0	0	0	0
9	9	P-Ca-	NO	NO	0.9649	0.815	0.1499	NO	NO	NO	-0.0822	-0.2908	-0.007092683	-0.1409	-0.002561818	55	41	372	372	191	41	57	52	31	0	0	0	0	0	0
10	10	P+Ca+	YES	YES	1.1792	0.8011	0.3781	NO	YES	NO	NA	NA	NA	NA	NA	27	13	80	80	29	36	15	0	0	0	0	0	0	0	0
11	11	P+Ca-	NO	YES	1.0325	0.8201	0.2124	NO	NO	NO	-0.1896	-0.509	-0.014542857	-0.2966	-0.006053061	49	35	385	385	245	59	38	13	30	0	0	0	0	0	0
12	12	P-Ca+	YES	NO	1.0592	0.7182	0.341	NO	NO	NO	-0.157769231	-0.3759	-0.006961111	-0.0349	-0.000513235	68	54	316	316	11	176	84	22	23	0	0	0	0	0	0
13	13	P+Ca-	NO	YES	1.081	0.8017	0.2793	NO	NO	NO	-0.312523077	-0.4824	-0.01206	-0.2031	-0.003761111	54	40	352	352	247	25	49	22	8	1	0	0	0	0	0
14	14	P-Ca+	YES	NO	1.1673	0.9505	0.2168	NO	NO	NO	-0.125353846	-0.3346	-0.007781395	-0.1178	-0.002066667	57	43	330	326	107	135	37	19	25	7	0	0	0	0	0
15	15	P+Ca+	YES	YES	1.1527	0.8771	0.2756	YES	NO	NO	-0.0454	-0.4201	-0.009547727	-0.1445	-0.002491379	58	44	455	432	353	13	56	13	19	1	0	0	0	0	0
16	16	P+Ca+	YES	YES	1.0542	0.8423	0.2119	YES	NO	NO	0.0113	-0.1735	-0.005421875	0.0384	0.000834783	46	32	245	245	176	53	3	10	3	0	0	0	0	0	0
17	17	P+Ca+	YES	YES	1.1418	0.9178	0.224	YES	NO	NO	-0.0557	-0.4328	-0.010304762	-0.2088	-0.003728571	56	42	384	349	210	76	60	4	34	0	0	0	0	0	0
18	18	P+Ca+	YES	YES	1.1195	0.7511	0.3684	NO	NO	NO	-0.1107	-0.3203	-0.005004688	0.0481	0.000616667	78	64	88	87	76	5	6	0	0	1	0	0	0	0	0
19	19	P+Ca+	YES	YES	1.216	0.9203	0.2957	YES	NO	NO	-0.0587	-0.5203	-0.014865714	-0.2246	-0.004583673	49	35	432	429	350	16	37	29	0	0	0	0	0	0	0
