Block;Treat;P;Dol;Al;Ca;Fe;K;Mg;Mn;S;Si;Zn;Nper;Cper;Pper;Nmol;Cmol;Pmol;CNper;CPper;NPper;CNmol;CPmol;NPmol
PM 1;P+Ca+;YES;YES;4.37282878;95.38318779;4.019446372;184.1044572;98.54492246;0.460060704;66.34574598;6.940909076;0.79187953;2.6831038;45.39378357;0.229216102;1915.134761;37796.65576;74.01230299;16.91838518;198.0392438;11.70556419;19.73576823;510.6807143;25.87589743
PM 2;P+Ca+;YES;YES;3.902744523;96.61280308;3.547183304;211.5710153;88.88141051;1.136802368;64.76349004;10.07535226;0.61435094;2.545350313;45.19367409;0.220415828;1816.809645;37630.03671;71.17075481;17.75538473;205.0382433;11.54794708;20.71215155;528.7289254;25.52747474
PM 3;P+Ca+;YES;YES;4.368186027;82.53965368;4.849477329;238.2969796;82.86304697;0.637015953;71.2268383;6.534804988;0.696385261;2.9045434;44.68723106;0.202708019;2073.193005;37208.35226;65.45302527;15.38528605;220.4512245;14.32870495;17.94736533;568.4741401;31.67451766
PM 4;P+Ca+;YES;YES;4.836290131;100.031468;4.818114586;204.7699126;103.9219034;0.746986729;73.3724833;6.40603397;0.740680844;2.816245496;44.72889519;0.19953323;2010.168092;37243.04345;64.42790752;15.882456;224.1676501;14.11416786;18.52732794;578.0576289;31.20026971
PM 5;P+Ca+;YES;YES;7.199281839;108.6119596;6.250752255;167.3640038;97.31121315;0.960032317;68.18620795;10.16156425;1.000974522;2.691979527;45.02029419;0.210314659;1921.470041;37485.67376;67.90915695;16.72386202;214.0616084;12.79977125;19.50885154;551.9973365;28.29471204
PM 1;P+Ca-;YES;NO;4.752808125;103.0537954;5.366783488;200.4935673;65.97325527;1.518177945;69.31342864;8.304657797;0.772225069;2.795206368;45.21380043;0.240835132;1995.150869;37646.7947;77.76400778;16.17547847;187.7375615;11.60630654;18.86914683;484.1159268;25.65648204
PM 2;P+Ca-;YES;NO;4.24366116;98.63418344;3.814551557;243.0200293;67.38106245;1.330328273;69.48941121;10.28484895;0.905359817;2.67510879;44.89070511;0.273014912;1909.428116;37377.77278;88.1546374;16.78088954;164.4258359;9.798398083;19.57537572;424.0023427;21.65998491
PM 3;P+Ca-;YES;NO;6.871495856;92.14366386;6.468244408;236.1971951;76.80018928;1.299002138;70.99120284;8.220327272;0.862203112;2.806864977;44.8272419;0.225148507;2003.472503;37324.93081;72.69890429;15.97057296;199.1007739;12.46672705;18.63011883;513.4180655;27.55849655
PM 4;P+Ca-;YES;NO;5.32077848;95.00134719;4.941900653;243.4044674;65.83049978;1.322777669;66.39145781;7.492102545;0.823430004;2.579734623;44.94576454;0.212390307;1841.352336;37423.61744;68.57936948;17.42263105;211.618718;12.14619752;20.32398509;545.6978931;26.84994555
PM 5;P+Ca-;YES;NO;12.02958552;84.93673467;10.30906712;191.1602984;64.58268652;1.135833541;61.68948194;10.8313014;0.727426779;2.673256218;44.36453247;0.199026821;1908.105795;36939.66068;64.2643916;16.59569037;222.9073061;13.43163805;19.35933572;574.8075996;29.69149395
PM 1;P-Ca+;NO;YES;7.552151053;89.71754543;6.180726159;225.2020827;85.87496531;1.348201824;74.11312859;6.932942896;0.661276945;NA;44.15219879;0.139215881;NA;18694.06904;44.95185064;NA;161.2716645;NA;NA;817.8275811;NA
PM 2;P-Ca+;NO;YES;6.134142942;93.87489862;5.756161437;216.2663413;92.95421176;1.084559431;69.24742335;10.98240293;0.644083155;2.744450271;44.96889877;0.136190582;1958.922392;37442.87991;43.97500224;16.38539392;330.1909584;20.15154229;19.11401905;851.4582832;44.54627156
